OrderNo|LineNumber|ProductID|VariationID|UnitPrice|UnitVat|Quantity
107-8433-5288|5|203266405|210598049|800.0|80.0|1
193-7207-1377|3|203266405|210598049|778.0|77.8|1
451-2848-9144|6|203185628|210444586|818.0|81.8|1
451-2841-8272|3|203041171|209991210|1727.0|172.7|1
107-8430-3793|2|203040894|209990930|2273.0|227.3|1
451-2856-1910|1|203041177|209991216|1727.0|172.7|1
193-7207-1377|1|203266406|210598050|778.33|77.83|12
451-2841-7419|5|203041480|209991534|818.0|81.8|1
193-7199-7429|5|203040895|209990931|5455.0|545.5|1
193-7213-8323|3|203041178|209991217|1091.0|109.1|1
193-7213-9177|2|203041337|209991379|1545.0|154.5|1
451-2842-3463|3|203041623|209991677|4545.0|454.5|1
451-2848-8059|5|201554878|205422220|582.0|58.2|1
451-2849-2482|2|203266395|210598039|1545.0|154.5|1
107-8440-1330|1|203041482|209991536|818.0|81.8|1
107-8432-9921|1|203040894|209990930|2273.0|227.3|1
107-8432-5389|1|203040894|209990930|2273.0|227.3|1
451-2845-9048|5|203041482|209991536|818.0|81.8|1
21-9285-3537|1|13375036|39746678|11727.0|1172.7|1
193-7207-0068|2|203041171|209991210|1727.0|172.7|1
451-2848-8059|2|203266391|210598035|1545.0|154.5|1
451-2848-9144|3|203041177|209991216|1727.0|172.7|1
451-2848-4958|5|203040894|209990930|2273.0|227.3|1
107-8425-7916|1|203040894|209990930|2062.0|206.2|1
451-2846-6553|1|203040894|209990930|2223.0|222.3|1
193-7214-1526|5|203040894|209990930|2273.0|227.3|1
193-7199-8383|3|203040894|209990930|2173.0|217.3|1
451-2841-9351|7|203041482|209991536|818.0|81.8|1
279-5998-3424|1|13310803|38676096|9000.0|900.0|1
451-2848-4958|8|203294558|210680137|1000.0|100.0|1
451-2849-2482|7|203041178|209991217|1091.0|109.1|1
193-7207-0068|3|203041479|209991533|818.0|81.8|1
451-2841-8272|7|203040890|209990926|2273.0|227.3|1
451-2846-6553|5|203294625|210680245|1955.0|195.5|1
193-7213-9177|1|203040894|209990930|2273.0|227.3|1
451-2848-4958|3|203266406|210598050|800.0|80.0|3
21-9316-1793|5|14427984|40548074|1209.0|120.9|1
193-7206-2884|10|203266401|210598045|764.0|76.4|1
107-8425-8581|2|203040894|209990930|2273.0|227.3|1
107-8440-1756|1|203040894|209990930|2273.0|227.3|1
107-8432-4853|11|203041171|209991210|1727.0|172.7|1
451-2841-7575|1|203040894|209990930|2273.0|227.3|1
193-7199-5368|3|203041337|209991379|1545.0|154.5|1
107-8432-4853|13|203266401|210598045|800.0|80.0|1
193-7199-5368|6|203041482|209991536|818.0|81.8|1
107-8426-0366|3|203041178|209991217|990.0|99.0|1
279-5998-3424|4|201858082|206350645|5000.0|500.0|1
193-7207-2445|2|203266406|210598050|800.0|80.0|5
451-2841-8272|8|203040891|209990927|5455.0|545.5|1
451-2848-9136|1|203185635|210444593|1727.0|172.7|1
107-8430-3144|9|203329431|210728926|591.0|59.1|1
193-7203-9253|4|203266418|210598062|409.0|40.9|1
107-8440-2820|5|203041178|209991217|1091.0|109.1|1
107-8440-2820|7|203041623|209991677|4545.0|454.5|1
21-9284-6914|1|203266398|210598042|2273.0|227.3|1
279-5966-8379|2|201197262|204299753|11727.0|1172.7|1
193-7214-1526|4|203041178|209991217|1091.0|109.1|1
279-5944-6485|40|203294571|210680169|4773.0|477.3|1
451-2842-3463|4|203041337|209991379|1545.0|154.5|1
107-8426-0366|1|203040894|209990930|2062.0|206.2|1
21-9316-1793|4|202784962|209296652|2273.0|227.3|1
193-7206-2884|7|13377982|39759864|1302.0|130.2|1
193-7199-5368|2|203040895|209990931|5455.0|545.5|1
193-7206-9627|6|203266404|210598048|800.0|80.0|1
451-2849-3349|2|203266395|210598039|1545.0|154.5|1
451-2849-1979|2|203040894|209990930|2273.0|227.3|1
365-4445-7852|1|203099808|210127326|727.0|72.7|1
365-4446-0296|1|202294009|207872172|1273.0|127.3|1
451-2841-7419|7|202974758|209772454|2273.0|227.3|1
107-8430-3144|6|203193555|210467134|900.0|90.0|1
